time,temperature_2m,wind_speed_10m,wind_direction_10m
2024-01-19 16:00:00,24.5,13.3,237
2024-01-19 17:00:00,24.4,15.4,249
2024-01-19 18:00:00,24.1,14.9,250
2024-01-19 19:00:00,24.0,15.3,251
2024-01-19 20:00:00,24.0,14.7,248
2024-01-19 21:00:00,24.0,14.3,245
2024-01-19 22:00:00,24.2,15.2,248
2024-01-19 23:00:00,24.1,14.0,247
2024-01-20 00:00:00,25.4,16.1,243
2024-01-20 01:00:00,27.4,14.3,245
2024-01-20 02:00:00,28.3,18.5,243
2024-01-20 03:00:00,29.9,18.2,243
2024-01-20 04:00:00,31.0,22.0,238
2024-01-20 05:00:00,31.8,22.9,242
2024-01-20 06:00:00,32.0,24.6,238
2024-01-20 07:00:00,31.7,23.9,236
2024-01-20 08:00:00,31.4,23.4,236
2024-01-20 09:00:00,31.0,21.6,233
2024-01-20 10:00:00,29.9,18.8,234
2024-01-20 11:00:00,28.7,16.3,239
2024-01-20 12:00:00,27.9,15.5,245
2024-01-20 13:00:00,27.6,14.2,234
2024-01-20 14:00:00,27.2,15.4,233
2024-01-20 15:00:00,27.0,16.7,233
2024-01-20 16:00:00,26.8,16.4,237
2024-01-20 17:00:00,26.2,14.7,242
2024-01-20 18:00:00,25.8,14.2,246
2024-01-20 19:00:00,25.4,12.4,248
2024-01-20 20:00:00,25.1,12.4,253
2024-01-20 21:00:00,24.8,11.7,252
2024-01-20 22:00:00,24.7,11.7,252
2024-01-20 23:00:00,24.8,14.7,242
